232,97.9,0.02081,1.1174
247,102,0.02119,1.1246
257,101.4,0.02123,1.1254
264.5,101.4,0.02084,1.1277
262.5,100.6,0.0214,1.1318
259,100.4,0.02127,1.133
254,99.5,0.02091,1.1296
251.5,98,0.02093,1.128
247,106,0.0206,1.1225
246,105.2,0.02029,1.1198
252.5,104.4,0.02001,1.1238
252,103.2,0.02021,1.1385
244,101.4,0.01994,1.14
242,101,0.02049,1.137
238,101.2,0.02005,1.1375
240,108,0.02,1.1373
238.5,106,0.02034,1.1365
238,106.4,0.01976,1.1287
237,106.8,0.01976,1.1293
243,106.8,0.01976,1.1288
238,111.6,0.02048,1.1286
238.5,111.4,0.02034,1.1227
236,110.2,0.02054,1.1216
234,111.2,0.02061,1.1208
243.5,109.2,0.0212,1.1259
245.5,111,0.02106,1.1252
245,109,0.02092,1.1272
240.5,109.8,0.02122,1.1262
237,106.6,0.02061,1.1212
236,104.6,0.02038,1.123
238.5,103.4,0.02048,1.1262
240,103.6,0.02043,1.1218
238.5,112.4,0.02074,1.1206
233.5,113.4,0.0205,1.1151
233,111.6,0.02074,1.1142
231,108.8,0.02081,1.1146
231,108.6,0.02055,1.1132
228,111,0.02061,1.1143
231,109.2,0.02021,1.1158
231,110.2,0.01894,1.1072
226,107.6,0.01855,1.1079
211,110,0.01739,1.1244
218,109.8,0.01684,1.1207
234.5,110.2,0.01716,1.1204
228,110,0.01734,1.1187
232,112.8,0.01639,1.1208
236.5,111,0.0168,1.1218
243,107.8,0.01581,1.1177
250,102.8,0.01529,1.1143
269.5,104.2,0.01539,1.1114
279.5,109.4,0.01598,1.1094
273.5,108,0.01561,1.1083
293,110.8,0.01577,1.1098
292.5,111.8,0.0161,1.1091
292,112.4,0.01528,1.1084
294,111.4,0.01545,1.1143
291,113,0.0149,1.1104
286,110.4,0.01466,1.109
288,108.8,0.01516,1.1086
281,110.4,0.01506,1.1062
281,107.4,0.01506,1.0992
280.5,108.4,0.01466,1.0969
293,108.2,0.01459,1.0975
295,106.2,0.01565,1.1035
302,107.2,0.0155,1.1036
290,108.2,0.01622,1.1021
284,108.6,0.01702,1.1048
279,109,0.01733,1.105
239.5,109,0.01791,1.1013
241,109.8,0.01903,1.1058
245,109,0.01841,1.1083
246.5,107.4,0.01812,1.1006
250.5,108.4,0.01786,1.1075
252,107.2,0.01774,1.1031
254,107.2,0.01755,1.1049
253.5,106,0.01708,1.1019
250.5,108.4,0.01635,1.0994
250.5,105.2,0.01732,1.1017
247.5,104.8,0.01685,1.0953
254,104.6,0.01675,1.0923
259,107,0.01675,1.0943
257.5,106.2,0.01644,1.09
251,105.2,0.01596,1.0935
249.5,104,0.01536,1.0964
243.5,108,0.01515,1.0975
247,113,0.01553,1.0987
247,113.8,0.01537,1.0972
250.5,115.6,0.01589,1.096
256.5,117.8,0.01658,1.0988
259.5,120.8,0.01752,1.1011
257,126.4,0.01733,1.103
258,123,0.01771,1.1029
255.5,125,0.01748,1.1035
258,124.4,0.01757,1.1075
257,125,0.01747,1.1127
259.5,121,0.01792,1.1156
260,121.4,0.01768,1.1152
262,121.8,0.01759,1.1129
266,121.2,0.01766,1.1132
267,120.2,0.01801,1.1104
272.5,115.2,0.01853,1.1084
264,112.4,0.01835,1.1099
257,111.6,0.01798,1.1115
247.5,112.2,0.01691,1.1154
253,112.6,0.01728,1.1157
261.5,115,0.01786,1.1167
256,116,0.01866,1.1129
261.5,115.6,0.01814,1.1074
267,116.8,0.01926,1.107
278,118,0.01933,1.102
288,121.6,0.01943,1.1022
291,117,0.01909,1.1035
286.5,114.6,0.0187,1.1012
284.5,115,0.01815,1.1013
285.5,116.6,0.01834,1.102
289,116,0.01808,1.1055
289.5,114.6,0.01786,1.1072
293,114.4,0.01738,1.108
294.5,114,0.01772,1.1079
294,113.4,0.01774,1.1066
294.5,115,0.01764,1.1023
297.5,119,0.0174,1.1014
334,118,0.01767,1.1023
342,118.2,0.01767,1.1005
343.5,118.4,0.01767,1.1012
349.5,119,0.01836,1.1019
356.5,115.4,0.01709,1.1079
363,116,0.01781,1.1085
359.5,115.8,0.01797,1.1083
353,115,0.01842,1.1105
352,114,0.01829,1.1059
353.5,112.2,0.01833,1.1065
358,111,0.0179,1.1093
364.5,110.6,0.01897,1.1136
359.5,114.4,0.01819,1.1186
361.5,114,0.01892,1.1124
361.5,114.4,0.01889,1.1137
360,116.6,0.01924,1.1151
